Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,52.380001,52.380001,50.480000,51.009998,50.280594,159400
2022-05-06,50.580002,51.250000,50.279999,50.860001,50.132744,114300
2022-05-09,50.169998,50.509998,49.830002,50.029999,49.314610,127600
2022-05-10,50.549999,50.820000,50.259998,50.590000,49.866600,99000
2022-05-11,50.330002,50.939999,49.610001,49.619999,48.910469,186500
2022-05-12,49.590000,50.630001,49.590000,50.250000,49.531460,96900
2022-05-13,50.599998,51.040001,50.200001,50.860001,50.132744,96900
2022-05-16,49.930000,50.950001,49.930000,50.680000,49.955315,190700
2022-05-17,50.849998,51.349998,50.660000,51.200001,50.467876,427700
2022-05-18,50.730000,51.009998,49.919998,49.980000,49.265324,236500
2022-05-19,50.520000,52.160000,49.869999,51.349998,50.615734,220800
2022-05-20,54.060001,55.270000,54.060001,55.029999,54.243111,310400
2022-05-23,55.369999,55.950001,55.000000,55.070000,54.282539,164900
2022-05-24,56.169998,56.669998,55.660000,56.480000,55.672379,111200
2022-05-25,55.820000,56.099998,55.360001,55.470001,54.676823,240700
2022-05-26,55.590000,55.799999,55.080002,55.270000,54.479679,252800
2022-05-27,55.970001,56.459999,55.970001,56.310001,55.504810,313600
2022-05-31,56.040001,56.040001,55.250000,55.349998,54.558533,279000
2022-06-01,55.250000,55.580002,54.779999,55.270000,54.479679,112000
2022-06-02,55.549999,56.000000,54.980000,55.840000,55.041531,292400
2022-06-03,55.619999,55.619999,55.080002,55.259998,54.469822,153400
2022-06-06,55.340000,55.529999,54.740002,54.900002,54.114971,70400
2022-06-07,53.009998,54.369999,52.910000,54.340000,53.562981,273100
2022-06-08,54.230000,54.639999,53.919998,54.070000,53.296837,120400
2022-06-09,55.270000,55.450001,54.730000,54.810001,54.026257,132700
2022-06-10,54.759998,55.330002,54.230000,55.139999,54.351536,123500
2022-06-13,54.299999,54.610001,54.040001,54.380001,53.602409,477400
2022-06-14,54.880001,55.480000,54.810001,55.310001,54.519108,210700
2022-06-15,55.400002,56.419998,55.360001,56.130001,55.327385,235200
2022-06-16,55.049999,55.099998,54.259998,54.310001,53.533405,165300
2022-06-17,52.689999,53.570000,52.459999,53.209999,52.449135,366500
2022-06-21,54.419998,55.389999,54.419998,55.099998,54.312107,192900
2022-06-22,54.529999,55.220001,54.529999,54.700001,53.917831,186300
2022-06-23,54.990002,55.049999,54.430000,55.000000,54.213543,186500
2022-06-24,55.169998,56.060001,55.169998,55.919998,55.120384,161400
2022-06-27,55.639999,55.939999,55.200001,55.650002,54.854248,376000
2022-06-28,56.049999,56.060001,55.230000,55.290001,54.499397,204700
2022-06-29,55.200001,55.560001,54.860001,55.340000,54.548679,255800
2022-06-30,55.540001,55.540001,54.790001,55.389999,54.597961,236100
2022-07-01,55.009998,55.869999,55.009998,55.840000,55.041531,85400
2022-07-05,55.799999,55.880001,55.209999,55.869999,55.071098,154000
2022-07-06,55.500000,56.230000,55.299999,55.980000,55.179527,183100
2022-07-07,55.209999,55.320000,55.070000,55.200001,54.410683,231200
2022-07-08,55.369999,55.880001,55.130001,55.639999,55.231609,171400
2022-07-11,56.360001,56.900002,56.020000,56.220001,55.807354,136500
2022-07-12,55.910000,56.139999,55.220001,55.470001,55.062862,277800
2022-07-13,55.509998,56.349998,55.250000,56.160000,55.747795,249100
2022-07-14,56.639999,57.410000,56.480000,57.320000,56.899281,220400
2022-07-15,56.849998,57.580002,56.430000,57.180000,56.760307,149300
2022-07-18,55.980000,56.320000,55.410000,55.500000,55.092640,222800
2022-07-19,55.860001,56.389999,55.830002,56.259998,55.847057,119400
2022-07-20,55.869999,55.970001,55.400002,55.660000,55.251465,121000
2022-07-21,54.919998,55.520000,54.779999,55.520000,55.112492,155200
2022-07-22,55.490002,55.650002,55.049999,55.279999,54.874252,199300
2022-07-25,54.730000,54.730000,54.049999,54.240002,53.841888,188500
2022-07-26,53.060001,53.450001,52.750000,52.880001,52.491871,272400
2022-07-27,53.770000,54.490002,53.770000,54.400002,54.000713,159600
2022-07-28,53.790001,53.970001,51.380001,52.330002,51.945908,326100
2022-07-29,51.549999,51.860001,51.000000,51.500000,51.121998,152100
2022-08-01,51.310001,51.730000,51.310001,51.480000,51.480000,153200
2022-08-02,51.500000,51.930000,51.110001,51.380001,51.380001,209100
2022-08-03,51.570000,52.310001,51.259998,52.090000,52.090000,247900
2022-08-04,52.270000,52.650002,52.150002,52.439999,52.439999,94600
2022-08-05,52.230000,52.660000,52.090000,52.660000,52.660000,128500
2022-08-08,53.099998,53.270000,52.840000,53.169998,53.169998,133900
2022-08-09,53.130001,53.290001,52.779999,52.910000,52.910000,130800
2022-08-10,53.580002,53.790001,53.349998,53.459999,53.459999,149700
2022-08-11,53.330002,53.459999,52.930000,53.119999,53.119999,123800
2022-08-12,53.169998,53.970001,53.130001,53.639999,53.639999,146800
2022-08-15,53.470001,53.919998,53.369999,53.619999,53.619999,175300
2022-08-16,53.750000,54.020000,53.500000,53.880001,53.880001,126700
2022-08-17,53.990002,53.990002,51.970001,52.189999,52.189999,700900
2022-08-18,51.919998,52.779999,51.919998,52.730000,52.730000,216600
2022-08-19,52.130001,52.669998,51.970001,52.220001,52.220001,163100
2022-08-22,51.970001,52.200001,51.709999,51.910000,51.910000,289200
2022-08-23,52.220001,52.849998,52.099998,52.709999,52.709999,208400
2022-08-24,52.509998,53.369999,52.509998,53.110001,53.110001,237500
2022-08-25,53.450001,53.450001,52.889999,53.160000,53.160000,90600
2022-08-26,52.889999,52.889999,51.860001,52.049999,52.049999,126200
2022-08-29,52.389999,52.619999,51.970001,51.980000,51.980000,140900
2022-08-30,52.730000,53.189999,52.270000,52.410000,52.410000,213400
2022-08-31,52.430000,52.580002,52.230000,52.290001,52.290001,316400
2022-09-01,51.980000,53.060001,51.980000,53.049999,53.049999,153000
2022-09-02,52.480000,52.490002,51.619999,51.959999,51.959999,231000
2022-09-06,52.599998,52.900002,52.340000,52.459999,52.459999,362000
2022-09-07,52.759998,53.470001,52.709999,53.410000,53.410000,370500
2022-09-08,53.209999,53.389999,52.930000,53.349998,53.349998,140000
2022-09-09,53.220001,53.470001,52.910000,53.470001,53.470001,158100
2022-09-12,53.889999,54.180000,53.580002,53.970001,53.970001,199100
2022-09-13,53.020000,53.110001,52.619999,52.740002,52.740002,135200
2022-09-14,52.849998,53.169998,52.709999,52.900002,52.900002,119900
2022-09-15,52.200001,52.209999,51.500000,51.709999,51.709999,160000
2022-09-16,50.820000,51.009998,50.320000,50.590000,50.590000,379300
2022-09-19,50.840000,51.259998,50.740002,51.110001,51.110001,160700
2022-09-20,51.630001,52.340000,51.610001,52.000000,52.000000,336600
2022-09-21,51.790001,51.799999,51.130001,51.230000,51.230000,297000
2022-09-22,51.110001,51.509998,51.110001,51.320000,51.320000,364700
2022-09-23,50.669998,51.040001,50.330002,50.650002,50.650002,412200
2022-09-26,50.369999,50.570000,49.799999,49.900002,49.900002,281800
2022-09-27,50.840000,51.040001,50.430000,50.549999,50.549999,222700
2022-09-28,51.630001,52.680000,51.459999,52.290001,52.290001,354200
2022-09-29,52.810001,52.919998,52.160000,52.220001,52.220001,390900
2022-09-30,52.259998,53.080002,52.250000,52.340000,52.340000,274000
2022-10-03,53.660000,54.320000,53.439999,54.160000,54.160000,346100
2022-10-04,54.080002,54.330002,53.759998,54.060001,54.060001,247200
2022-10-05,53.730000,54.130001,53.490002,54.040001,54.040001,130400
2022-10-06,53.230000,53.400002,52.639999,52.750000,52.750000,346100
2022-10-07,52.369999,52.599998,52.119999,52.400002,52.400002,206300
2022-10-10,52.750000,53.000000,52.490002,52.580002,52.580002,137900
2022-10-11,51.419998,52.130001,51.090000,51.790001,51.790001,217200
2022-10-12,51.279999,51.599998,50.990002,51.119999,51.119999,141000
2022-10-13,50.509998,52.070000,50.459999,51.720001,51.720001,174800
2022-10-14,52.029999,52.299999,51.700001,51.740002,51.740002,193700
2022-10-17,52.700001,53.070000,52.470001,52.790001,52.790001,153500
2022-10-18,53.049999,53.480000,52.750000,53.040001,53.040001,130800
2022-10-19,52.049999,52.369999,51.470001,51.669998,51.669998,131100
2022-10-20,52.330002,52.450001,51.799999,51.930000,51.930000,162600
2022-10-21,51.950001,52.580002,51.849998,52.580002,52.580002,92100
2022-10-24,52.549999,52.959999,52.340000,52.549999,52.549999,76900
2022-10-25,53.200001,53.720001,53.029999,53.549999,53.549999,127700
2022-10-26,53.840000,54.080002,53.619999,53.980000,53.980000,137300
2022-10-27,54.160000,54.799999,54.160000,54.549999,54.549999,219900
2022-10-28,53.869999,55.290001,53.720001,55.270000,55.270000,141100
2022-10-31,54.110001,54.470001,53.750000,54.310001,54.310001,215700
2022-11-01,55.279999,55.840000,55.119999,55.740002,55.740002,343800
2022-11-02,55.689999,56.869999,55.320000,55.330002,55.330002,634100
2022-11-03,55.430000,55.900002,54.810001,55.860001,55.860001,224500
2022-11-04,55.720001,55.799999,55.049999,55.650002,55.650002,280700
2022-11-07,55.360001,56.709999,55.160000,56.389999,56.389999,488800
2022-11-08,56.389999,56.759998,56.230000,56.410000,56.410000,265900
2022-11-09,56.080002,56.590000,55.930000,56.000000,56.000000,300100
2022-11-10,57.270000,57.650002,56.680000,57.450001,57.450001,189300
2022-11-11,57.220001,57.220001,56.200001,56.889999,56.889999,157700
2022-11-14,54.470001,55.020000,53.730000,54.450001,54.450001,350200
2022-11-15,55.070000,55.840000,54.790001,55.029999,55.029999,247000
2022-11-16,55.430000,55.689999,54.700001,55.049999,55.049999,159500
2022-11-17,54.299999,54.990002,54.110001,54.619999,54.619999,195400
2022-11-18,54.549999,54.639999,53.669998,53.950001,53.950001,317400
2022-11-21,53.540001,54.380001,53.450001,54.070000,54.070000,193300
2022-11-22,54.160000,54.529999,53.869999,54.189999,54.189999,448300
2022-11-23,54.419998,54.930000,54.020000,54.480000,54.480000,162600
2022-11-25,54.520000,54.930000,54.450001,54.660000,54.660000,108900
2022-11-28,54.520000,54.939999,54.400002,54.560001,54.560001,222300
2022-11-29,55.000000,55.639999,54.919998,55.290001,55.290001,241000
2022-11-30,55.759998,56.490002,55.250000,56.310001,56.310001,475200
2022-12-01,56.000000,56.439999,55.889999,56.119999,56.119999,289800
2022-12-02,55.919998,56.650002,55.639999,56.290001,56.290001,255200
2022-12-05,55.630001,55.639999,54.700001,54.790001,54.790001,225100
2022-12-06,53.560001,53.570000,52.790001,53.240002,53.240002,213600
2022-12-07,53.250000,53.419998,52.950001,53.250000,53.250000,146900
2022-12-08,53.049999,53.820000,53.049999,53.709999,53.709999,213600
2022-12-09,53.919998,54.099998,53.820000,53.849998,53.849998,175600
2022-12-12,54.310001,54.459999,54.119999,54.310001,54.310001,126000
2022-12-13,55.070000,55.150002,54.500000,54.619999,54.619999,139400
2022-12-14,54.950001,55.310001,54.660000,54.889999,54.889999,116100
2022-12-15,54.430000,54.430000,53.450001,53.520000,53.520000,117700
2022-12-16,52.340000,52.830002,52.209999,52.689999,52.689999,219000
2022-12-19,53.509998,53.619999,52.759998,52.849998,52.849998,111100
2022-12-20,52.880001,53.119999,52.689999,53.070000,53.070000,90500
2022-12-21,53.279999,53.810001,53.230000,53.680000,53.680000,99100
2022-12-22,52.919998,53.240002,52.849998,53.200001,53.200001,248800
2022-12-23,52.750000,52.750000,52.360001,52.580002,52.580002,119200
2022-12-27,51.959999,51.959999,51.110001,51.180000,51.180000,154800
2022-12-28,51.380001,51.830002,51.270000,51.720001,51.720001,121800
2022-12-29,51.849998,52.560001,51.849998,52.119999,52.119999,97200
2022-12-30,51.750000,51.990002,51.270000,51.750000,51.750000,125700
2023-01-03,51.740002,51.930000,51.310001,51.730000,51.730000,186700
2023-01-04,51.939999,52.290001,51.759998,52.040001,52.040001,212300
2023-01-05,52.200001,52.529999,51.529999,51.610001,51.610001,203300
2023-01-06,51.830002,53.139999,51.650002,52.700001,52.700001,393100
